Year,SERIES,Reference area,UNIT_MEASURE,Value
2006,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,Percent,59.4
2011,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,Percent,39.1
2014,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,Percent,30.1
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],,Percent,17.4
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Province 1,Percent,15.9
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Madhesh,Percent,24.2
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Bagmati,Percent,7.0
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Gandaki,Percent,9.6
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Lumbini,Percent,18.2
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Karnali,Percent,39.5
2019,Proportion of population living in poverty in all its dimensions according to national definitions [1.2.2],Sudurpashchim,Percent,24.2
