Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 24 years old,Percent,10.0
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 24 years old,Percent,20.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 49 years old,Percent,5.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Province 1,Female,15 to 49 years old,Percent,3.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Madhesh,Female,15 to 49 years old,Percent,2.7
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Bagmati,Female,15 to 49 years old,Percent,13.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Gandaki,Female,15 to 49 years old,Percent,6.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Lumbini,Female,15 to 49 years old,Percent,2.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Karnali,Female,15 to 49 years old,Percent,1.2
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Sudurpashchim,Female,15 to 49 years old,Percent,2.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 49 years old,Percent,15.5
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Province 1,Male,15 to 49 years old,Percent,10.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Madhesh,Male,15 to 49 years old,Percent,7.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Bagmati,Male,15 to 49 years old,Percent,28.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Gandaki,Male,15 to 49 years old,Percent,12.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Lumbini,Male,15 to 49 years old,Percent,12.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Karnali,Male,15 to 49 years old,Percent,6.5
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Sudurpashchim,Male,15 to 49 years old,Percent,12.2
