Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,SH_STA_AIRP,,PER_100000_POP,111.0
2018,SH_STA_AIRP,,PER_100000_POP,103.315385
2019,SH_STA_AIRP,,PER_100000_POP,98.192308
2020,SH_STA_AIRP,,PER_100000_POP,90.507692
2022,SH_STA_AIRP,,PER_100000_POP,77.7
2015,SH_AAP_ASMORT,,PER_100000_POP,64.2
2018,SH_AAP_ASMORT,,PER_100000_POP,59.755385
2019,SH_AAP_ASMORT,,PER_100000_POP,56.792308
2020,SH_AAP_ASMORT,,PER_100000_POP,52.347692
2022,SH_AAP_ASMORT,,PER_100000_POP,44.94
2015,SH_HAP_ASMORT,,PER_100000_POP,64.3
2018,SH_HAP_ASMORT,,PER_100000_POP,59.848462
2019,SH_HAP_ASMORT,,PER_100000_POP,56.880769
2020,SH_HAP_ASMORT,,PER_100000_POP,52.429231
2022,SH_HAP_ASMORT,,PER_100000_POP,45.01
