Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,SH_ACS_VACN,,PT,40.0
2019,SH_ACS_VACN,NP1,PT,38.6
2019,SH_ACS_VACN,NP2,PT,22.1
2019,SH_ACS_VACN,NP3,PT,42.3
2019,SH_ACS_VACN,NP4,PT,57.4
2019,SH_ACS_VACN,NP5,PT,55.7
2019,SH_ACS_VACN,NP6,PT,36.5
2019,SH_ACS_VACN,NP7,PT,40.3
2014,_L_NP_03_b_01_1,,PT,67.1
2019,_L_NP_03_b_01_1,,PT,70.2
2019,_L_NP_03_b_01_1,NP1,PT,71.6
2019,_L_NP_03_b_01_1,NP2,PT,52.8
2019,_L_NP_03_b_01_1,NP3,PT,79.6
2019,_L_NP_03_b_01_1,NP4,PT,87.9
2019,_L_NP_03_b_01_1,NP5,PT,73.3
2019,_L_NP_03_b_01_1,NP6,PT,70.0
2019,_L_NP_03_b_01_1,NP7,PT,66.0
