Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2019,SP_DYN_MRBF15,,F,PT,7.9
2019,SP_DYN_MRBF15,NP1,F,PT,6.6
2019,SP_DYN_MRBF15,NP2,F,PT,14.2
2019,SP_DYN_MRBF15,NP3,F,PT,2.2
2019,SP_DYN_MRBF15,NP4,F,PT,6.8
2019,SP_DYN_MRBF15,NP5,F,PT,8.9
2019,SP_DYN_MRBF15,NP6,F,PT,12.0
2019,SP_DYN_MRBF15,NP7,F,PT,8.2
2019,SP_DYN_MRBF15,,M,PT,1.5
2019,SP_DYN_MRBF15,NP1,M,PT,0.0
2019,SP_DYN_MRBF15,NP2,M,PT,2.1
2019,SP_DYN_MRBF15,NP3,M,PT,1.2
2019,SP_DYN_MRBF15,NP4,M,PT,0.0
2019,SP_DYN_MRBF15,NP5,M,PT,2.4
2019,SP_DYN_MRBF15,NP6,M,PT,1.7
2019,SP_DYN_MRBF15,NP7,M,PT,3.0
2019,SP_DYN_MRBF18,,F,PT,32.8
2019,SP_DYN_MRBF18,NP1,F,PT,28.5
2019,SP_DYN_MRBF18,NP2,F,PT,46.0
2019,SP_DYN_MRBF18,NP3,F,PT,19.7
2019,SP_DYN_MRBF18,NP4,F,PT,35.7
2019,SP_DYN_MRBF18,NP5,F,PT,33.7
2019,SP_DYN_MRBF18,NP6,F,PT,44.3
2019,SP_DYN_MRBF18,NP7,F,PT,35.6
2019,SP_DYN_MRBF18,,M,PT,9.0
2019,SP_DYN_MRBF18,NP1,M,PT,8.1
2019,SP_DYN_MRBF18,NP2,M,PT,7.8
2019,SP_DYN_MRBF18,NP3,M,PT,7.2
2019,SP_DYN_MRBF18,NP4,M,PT,2.1
2019,SP_DYN_MRBF18,NP5,M,PT,11.4
2019,SP_DYN_MRBF18,NP6,M,PT,17.0
2019,SP_DYN_MRBF18,NP7,M,PT,17.5
