Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2019,IT_USE_II99,,F,Y15T49,PT,41.0
2019,IT_USE_II99,NP1,F,Y15T49,PT,40.0
2019,IT_USE_II99,NP2,F,Y15T49,PT,29.3
2019,IT_USE_II99,NP3,F,Y15T49,PT,63.8
2019,IT_USE_II99,NP4,F,Y15T49,PT,59.6
2019,IT_USE_II99,NP5,F,Y15T49,PT,32.3
2019,IT_USE_II99,NP6,F,Y15T49,PT,14.7
2019,IT_USE_II99,NP7,F,Y15T49,PT,17.0
2019,IT_USE_II99,,M,Y15T49,PT,60.6
2019,IT_USE_II99,NP1,M,Y15T49,PT,59.6
2019,IT_USE_II99,NP2,M,Y15T49,PT,49.8
2019,IT_USE_II99,NP3,M,Y15T49,PT,75.1
2019,IT_USE_II99,NP4,M,Y15T49,PT,76.5
2019,IT_USE_II99,NP5,M,Y15T49,PT,57.3
2019,IT_USE_II99,NP6,M,Y15T49,PT,33.1
2019,IT_USE_II99,NP7,M,Y15T49,PT,46.2
2019,_L_NP_17_08_01_1,,F,Y15T49,PT,35.3
2019,_L_NP_17_08_01_1,NP1,F,Y15T49,PT,32.5
2019,_L_NP_17_08_01_1,NP2,F,Y15T49,PT,24.5
2019,_L_NP_17_08_01_1,NP3,F,Y15T49,PT,58.7
2019,_L_NP_17_08_01_1,NP4,F,Y15T49,PT,52.7
2019,_L_NP_17_08_01_1,NP5,F,Y15T49,PT,26.2
2019,_L_NP_17_08_01_1,NP6,F,Y15T49,PT,10.4
2019,_L_NP_17_08_01_1,NP7,F,Y15T49,PT,12.5
2019,_L_NP_17_08_01_1,,M,Y15T49,PT,55.5
2019,_L_NP_17_08_01_1,NP1,M,Y15T49,PT,56.9
2019,_L_NP_17_08_01_1,NP2,M,Y15T49,PT,44.3
2019,_L_NP_17_08_01_1,NP3,M,Y15T49,PT,70.1
2019,_L_NP_17_08_01_1,NP4,M,Y15T49,PT,66.7
2019,_L_NP_17_08_01_1,NP5,M,Y15T49,PT,52.2
2019,_L_NP_17_08_01_1,NP6,M,Y15T49,PT,26.1
2019,_L_NP_17_08_01_1,NP7,M,Y15T49,PT,41.8
