Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2019,SE_AGP_CPRA,,ISCED11_1,PT,1.04
2019,SE_AGP_CPRA,NP1,ISCED11_1,PT,1.0
2019,SE_AGP_CPRA,NP2,ISCED11_1,PT,0.98
2019,SE_AGP_CPRA,NP3,ISCED11_1,PT,1.17
2019,SE_AGP_CPRA,NP4,ISCED11_1,PT,0.96
2019,SE_AGP_CPRA,NP5,ISCED11_1,PT,1.02
2019,SE_AGP_CPRA,NP6,ISCED11_1,PT,1.11
2019,SE_AGP_CPRA,NP7,ISCED11_1,PT,0.99
2019,SE_AGP_CPRA,,ISCED11_2,PT,1.19
2019,SE_AGP_CPRA,NP1,ISCED11_2,PT,1.21
2019,SE_AGP_CPRA,NP2,ISCED11_2,PT,1.23
2019,SE_AGP_CPRA,NP3,ISCED11_2,PT,1.15
2019,SE_AGP_CPRA,NP4,ISCED11_2,PT,1.12
2019,SE_AGP_CPRA,NP5,ISCED11_2,PT,1.3
2019,SE_AGP_CPRA,NP6,ISCED11_2,PT,1.26
2019,SE_AGP_CPRA,NP7,ISCED11_2,PT,0.94
2014,SE_AGP_CPRA,,ISCED11_3,PT,1.02
2019,SE_AGP_CPRA,,ISCED11_3,PT,1.07
2019,SE_AGP_CPRA,NP1,ISCED11_3,PT,1.13
2019,SE_AGP_CPRA,NP2,ISCED11_3,PT,0.83
2019,SE_AGP_CPRA,NP3,ISCED11_3,PT,1.18
2019,SE_AGP_CPRA,NP4,ISCED11_3,PT,1.02
2019,SE_AGP_CPRA,NP5,ISCED11_3,PT,1.17
2019,SE_AGP_CPRA,NP6,ISCED11_3,PT,0.97
2019,SE_AGP_CPRA,NP7,ISCED11_3,PT,0.93
