Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2019,IT_MOB_OWN,,F,Y15T49,PT,79.3
2019,IT_MOB_OWN,NP1,F,Y15T49,PT,80.0
2019,IT_MOB_OWN,NP2,F,Y15T49,PT,62.9
2019,IT_MOB_OWN,NP3,F,Y15T49,PT,90.9
2019,IT_MOB_OWN,NP4,F,Y15T49,PT,91.8
2019,IT_MOB_OWN,NP5,F,Y15T49,PT,77.2
2019,IT_MOB_OWN,NP6,F,Y15T49,PT,71.8
2019,IT_MOB_OWN,NP7,F,Y15T49,PT,74.4
2019,IT_MOB_OWN,,M,Y15T49,PT,91.4
2019,IT_MOB_OWN,NP1,M,Y15T49,PT,88.1
2019,IT_MOB_OWN,NP2,M,Y15T49,PT,88.3
2019,IT_MOB_OWN,NP3,M,Y15T49,PT,95.3
2019,IT_MOB_OWN,NP4,M,Y15T49,PT,95.1
2019,IT_MOB_OWN,NP5,M,Y15T49,PT,92.3
2019,IT_MOB_OWN,NP6,M,Y15T49,PT,88.3
2019,IT_MOB_OWN,NP7,M,Y15T49,PT,88.2
