Year,Value,UNIT_MEASURE,SERIES
2015,111.0,PER_100000_POP,SH_STA_AIRP
2018,103.315385,PER_100000_POP,SH_STA_AIRP
2019,98.192308,PER_100000_POP,SH_STA_AIRP
2020,90.507692,PER_100000_POP,SH_STA_AIRP
2022,77.7,PER_100000_POP,SH_STA_AIRP
2015,64.2,PER_100000_POP,SH_AAP_ASMORT
2018,59.755385,PER_100000_POP,SH_AAP_ASMORT
2019,56.792308,PER_100000_POP,SH_AAP_ASMORT
2020,52.347692,PER_100000_POP,SH_AAP_ASMORT
2022,44.94,PER_100000_POP,SH_AAP_ASMORT
2015,64.3,PER_100000_POP,SH_HAP_ASMORT
2018,59.848462,PER_100000_POP,SH_HAP_ASMORT
2019,56.880769,PER_100000_POP,SH_HAP_ASMORT
2020,52.429231,PER_100000_POP,SH_HAP_ASMORT
2022,45.01,PER_100000_POP,SH_HAP_ASMORT
